_id,ID,NAME,ADDRESS,ADDRESS_POINT_ID,ADDRESS_ID,CENTRELINE_ID,MAINT_STAGE,ADDRESS_NUMBER,LINEAR_NAME_FULL,POSTAL_CODE,GENERAL_USE,CLASS_FAMILY_DESC,ADDRESS_ID_LINK,PLACE_NAME,X,Y,LATITUDE,LONGITUDE,WARD_NAME,MUNICIPALITY_NAME,OBJECTID,geometry,lon,lat,geometry
42,23,FIRE STATION 213,7 LAPSLEY RD,11533910,346466,11533909,REGULAR,7,Lapsley Rd,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 213,NA,NA,NA,NA,Scarborough North (23),Scarborough,2458686,"c(-79.2259619086159, 43.7954066088734)",-79.2259619086159,43.7954066088734,"c(-79.2259619086159, 43.7954066088734)"
43,48,FIRE STATION 321,231 MCRAE DR,3890947,269726,3890945,REGULAR,231,McRae Dr,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 321,NA,NA,NA,NA,Don Valley West (15),East York,2479820,"c(-79.3648513993097, 43.7087098623636)",-79.3648513993097,43.7087098623636,"c(-79.3648513993097, 43.7087098623636)"
44,84,FIRE STATION 445,280 BURNHAMTHORPE RD,990940,17956,911274,REGULAR,280,Burnhamthorpe Rd,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 445,NA,NA,NA,NA,Etobicoke Centre (2),Etobicoke,2544120,"c(-79.5451030832103, 43.649348178119)",-79.5451030832103,43.649348178119,"c(-79.5451030832103, 43.649348178119)"
45,67,FIRE STATION 413,1549 ALBION RD,982440,468063,906946,REGULAR,1549,Albion Rd,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 413,NA,NA,NA,NA,Etobicoke North (1),Etobicoke,2546874,"c(-79.5869058522884, 43.7402187055703)",-79.5869058522884,43.7402187055703,"c(-79.5869058522884, 43.7402187055703)"
46,6,FIRE STATION 116,255 ESTHER SHINER BLVD,8731578,1464220,30005958,REGULAR,255,Esther Shiner Blvd,NA,Fire Station,"Structure, Structure Entrance",484876,Fire Station 116,NA,NA,NA,NA,Don Valley North (17),North York,2607109,"c(-79.3650636554859, 43.7691459436276)",-79.3650636554859,43.7691459436276,"c(-79.3650636554859, 43.7691459436276)"
47,76,FIRE STATION 432,155 THE EAST MALL,8100063,6586,8100062,REGULAR,155,The East Mall,NA,Fire/Ambulance Stations,"Land, Structure, Structure Entrance",NA,"Fire Station 432, Ambulance Station 39",NA,NA,NA,NA,Etobicoke-Lakeshore (3),Etobicoke,2609714,"c(-79.5493536952449, 43.6233410114915)",-79.5493536952449,43.6233410114915,"c(-79.5493536952449, 43.6233410114915)"
48,30,FIRE STATION 225,3600 DANFORTH AVE,5464019,204590,5464008,REGULAR,3600,Danforth Ave,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 225,NA,NA,NA,NA,Scarborough Southwest (20),Scarborough,2642292,"c(-79.2684946045652, 43.6959168731747)",-79.2684946045652,43.6959168731747,"c(-79.2684946045652, 43.6959168731747)"
49,75,FIRE STATION 431,308 PRINCE EDWARD DR S,6942838,173065,6942837,REGULAR,308,Prince Edward Dr S,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 431,NA,NA,NA,NA,Etobicoke-Lakeshore (3),Etobicoke,2663266,"c(-79.5048470438209, 43.6464360660255)",-79.5048470438209,43.6464360660255,"c(-79.5048470438209, 43.6464360660255)"
50,68,FIRE STATION 415,2120 KIPLING AVE,9655766,28505,9655751,REGULAR,2120,Kipling Ave,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 415,NA,NA,NA,NA,Etobicoke North (1),Etobicoke,2750607,"c(-79.5703767704744, 43.7178772080563)",-79.5703767704744,43.7178772080563,"c(-79.5703767704744, 43.7178772080563)"
51,3,FIRE STATION 113,700 SENECA HILL DR,560567,389732,436832,REGULAR,700,Seneca Hill Dr,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 113,NA,NA,NA,NA,Don Valley North (17),North York,2788036,"c(-79.3508330020753, 43.7931779343076)",-79.3508330020753,43.7931779343076,"c(-79.3508330020753, 43.7931779343076)"
52,13,FIRE STATION 133,1505 LAWRENCE AVE W,20035267,1463915,9796670,REGULAR,1505,Lawrence Ave W,NA,Fire Station,"Structure, Structure Entrance",86391,Fire Station 133,NA,NA,NA,NA,York South-Weston (5),North York,2829802,"c(-79.4821848791484, 43.7071848570246)",-79.4821848791484,43.7071848570246,"c(-79.4821848791484, 43.7071848570246)"
53,73,FIRE STATION 425,83 DEFOREST RD,792196,175651,1146026,REGULAR,83,Deforest Rd,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 425,NA,NA,NA,NA,Parkdale-High Park (4),former Toronto,2943084,"c(-79.4780588288151, 43.6479870238738)",-79.4780588288151,43.6479870238738,"c(-79.4780588288151, 43.6479870238738)"
54,35,FIRE STATION 233,59 CURLEW DR,8292449,314198,8292440,REGULAR,59,Curlew Dr,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 233,NA,NA,NA,NA,Don Valley East (16),North York,2949111,"c(-79.3145201396869, 43.7441034788063)",-79.3145201396869,43.7441034788063,"c(-79.3145201396869, 43.7441034788063)"
55,69,FIRE STATION 421,6 LAMBTON AVE,9531843,77063,9531839,REGULAR,6,Lambton Ave,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 421,NA,NA,NA,NA,York South-Weston (5),York,2973435,"c(-79.4853016276853, 43.6843003946467)",-79.4853016276853,43.6843003946467,"c(-79.4853016276853, 43.6843003946467)"
