iso2c,country,year,FP.CPI.TOTL.ZG,NY.GDP.MKTP.KD.ZG
AU,Australia,2020,0.846905537459293,-0.00383655856659004
ET,Ethiopia,1960,NA,NA
ET,Ethiopia,1961,NA,NA
ET,Ethiopia,1962,NA,NA
ET,Ethiopia,1963,NA,NA
ET,Ethiopia,1964,NA,NA
ET,Ethiopia,1965,NA,NA
ET,Ethiopia,1966,-1.36186770466911,NA
ET,Ethiopia,1967,0.808678501054689,NA
ET,Ethiopia,1968,0.182612665558959,NA
ET,Ethiopia,1969,1.42568843148631,NA
ET,Ethiopia,1970,10.1219512195636,NA
ET,Ethiopia,1971,0.536224281695154,NA
ET,Ethiopia,1972,-6.08151197179127,NA
ET,Ethiopia,1973,8.91358024695816,NA
ET,Ethiopia,1974,8.59215597391085,NA
ET,Ethiopia,1975,6.55010438394195,NA
ET,Ethiopia,1976,28.5378398237849,NA
ET,Ethiopia,1977,16.6571395908503,NA
ET,Ethiopia,1978,14.3081144649154,NA
ET,Ethiopia,1979,16.0322359396519,NA
ET,Ethiopia,1980,4.48253780600434,NA
ET,Ethiopia,1981,6.13596718680433,NA
ET,Ethiopia,1982,5.89006107723963,0.91601385808238
ET,Ethiopia,1983,-0.675378064854711,8.23500571846456
ET,Ethiopia,1984,8.41727378312058,-2.84802145264011
ET,Ethiopia,1985,19.0646851444406,-11.1443529776379
ET,Ethiopia,1986,-9.80876507050663,9.66161235926664
ET,Ethiopia,1987,-2.42867248283368,13.8593303966529
ET,Ethiopia,1988,7.08071532141092,0.50367487907485
ET,Ethiopia,1989,7.81730118223048,-0.361044180382265
ET,Ethiopia,1990,5.15248124174764,2.72645178301016
ET,Ethiopia,1991,35.7225982298715,-7.1374797004965
ET,Ethiopia,1992,10.5274440119592,-8.67248014788842
ET,Ethiopia,1993,3.54306596166032,13.1428339765154
ET,Ethiopia,1994,7.59387600185339,3.18996458217961
ET,Ethiopia,1995,10.0221733553238,6.12751141376545
ET,Ethiopia,1996,-8.48424868948825,12.4261737774646
ET,Ethiopia,1997,2.39520958083832,3.13390685087593
ET,Ethiopia,1998,0.894801693964088,-3.45813913371742
ET,Ethiopia,1999,7.94144864137327,5.16214582105535
ET,Ethiopia,2000,0.66245810926647,6.07321747957957
ET,Ethiopia,2001,-8.23784453391135,8.30130632052328
ET,Ethiopia,2002,1.6537293283834,1.51472570631101
ET,Ethiopia,2003,17.7622841965472,-2.16135972205798
ET,Ethiopia,2004,3.25627290668156,13.5726031368695
ET,Ethiopia,2005,12.944879209999,11.8187659466494
ET,Ethiopia,2006,12.3100000000002,10.834727065877
ET,Ethiopia,2007,17.2380019588638,11.4561670000236
ET,Ethiopia,2008,44.3912812333865,10.7885216853725
ET,Ethiopia,2009,8.46833578792337,8.80255319782566
ET,Ethiopia,2010,8.13694113083096,12.5505383459308
ET,Ethiopia,2011,32.0147888188887,11.1782962271641
ET,Ethiopia,2012,23.3785823575324,8.64781163337416
ET,Ethiopia,2013,7.4640219294452,10.5822700482672
ET,Ethiopia,2014,6.89001951597192,10.2574929610051
ET,Ethiopia,2015,9.56889955968618,10.3924630202334
ET,Ethiopia,2016,6.62813337230929,9.43348265784402
ET,Ethiopia,2017,10.6817295464484,9.56418964295607
ET,Ethiopia,2018,13.8307621811517,6.81614779681703
ET,Ethiopia,2019,15.840322039584,8.3640856990789
ET,Ethiopia,2020,NA,6.05661779202561
IN,India,1960,1.77987784677381,NA
IN,India,1961,1.69521293914439,3.72274253269818
IN,India,1962,3.63221497106985,2.93112773666002
IN,India,1963,2.94616135685229,5.99435326095099
IN,India,1964,13.3552611508153,7.45295012233009
IN,India,1965,9.47475859170699,-2.63577010985357
IN,India,1966,10.8018483489341,-0.0553287698314762
IN,India,1967,13.062202477797,7.82596303033039
IN,India,1968,3.23741242627506,3.38792917600293
IN,India,1969,-0.584136610466317,6.53970029627997
IN,India,1970,5.09226161997547,5.15722973608288
IN,India,1971,3.07993868406547,1.64293038388746
IN,India,1972,6.44209746158236,-0.553301312377599
IN,India,1973,16.9408159791735,3.29552113522355
IN,India,1974,28.598734077509,1.18533626034041
IN,India,1975,5.74843029767436,9.14991201480568
IN,India,1976,-7.63394763392879,1.66310363661293
IN,India,1977,8.30747009171164,7.2547645858358
IN,India,1978,2.5230487569518,5.71253208900177
IN,India,1979,6.27568336762338,-5.23818270278925
IN,India,1980,11.3460734795095,6.73582152799834
IN,India,1981,13.112546897642,6.00620362381754
IN,India,1982,7.89074279377489,3.47573324031229
IN,India,1983,11.8680812986734,7.28889290124583
IN,India,1984,8.3189071186007,3.82073785597366
IN,India,1985,5.55642423236556,5.25429922330882
IN,India,1986,8.72972072702585,4.77656417048958
IN,India,1987,8.80112581251833,3.96535563390586
IN,India,1988,9.38347186185335,9.62778291984819
IN,India,1989,7.07428002942298,5.94734332826501
IN,India,1990,8.9712325027326,5.53345456306511
IN,India,1991,13.8702461773682,1.05683143294308
IN,India,1992,11.7878170418135,5.48239602167047
IN,India,1993,6.32689048779865,4.75077621965234
IN,India,1994,10.2479355556119,6.65892406734025
IN,India,1995,10.2248861637545,7.57449184032379
IN,India,1996,8.97715233826453,7.5495222488198
IN,India,1997,7.16425211462719,4.0498208490926
IN,India,1998,13.2308389767978,6.18441582090618
IN,India,1999,4.66982038037591,8.84575556105509
IN,India,2000,4.0094359104519,3.84099115681285
IN,India,2001,3.77929312235641,4.82396626390641
IN,India,2002,4.2971520392956,3.8039753213758
IN,India,2003,3.80585899528851,7.86038147553259
IN,India,2004,3.76725173477513,7.92293661286503
IN,India,2005,4.24634362031925,7.92343062149763
IN,India,2006,5.79652337561635,8.06073257303272
IN,India,2007,6.37288135593231,7.66081506504928
IN,India,2008,8.34926704907581,3.08669805953289
IN,India,2009,10.8823529411764,7.86188883303498
IN,India,2010,11.9893899204244,8.49758470158106
IN,India,2011,8.85836096636667,5.24131500140663
IN,India,2012,9.3124456048738,5.45638875297365
IN,India,2013,11.0636747834422,6.38610640094825
IN,India,2014,6.64950015146925,7.41022760508854
IN,India,2015,4.90697344127253,7.99625378571471
IN,India,2016,4.94821634062141,8.25630550179086
IN,India,2017,3.32817337461301,6.79538341897911
IN,India,2018,3.94506866416979,6.53298901139763
IN,India,2019,3.72327648330532,4.0415541865323
IN,India,2020,6.62343677628531,-7.25175478178826
US,United States,1960,1.45797598627786,NA
US,United States,1961,1.07072414764723,2.29999999999968
US,United States,1962,1.19877334820185,6.10000000000012
US,United States,1963,1.2396694214876,4.39999999999992
US,United States,1964,1.27891156462583,5.8000000000003
US,United States,1965,1.58516926383669,6.39999999999976
US,United States,1966,3.01507537688439,6.50000000000028
US,United States,1967,2.77278562259307,2.50000000000003
US,United States,1968,4.27179615288534,4.79999999999959
US,United States,1969,5.4623862002875,3.09999999999999
US,United States,1970,5.83825533848253,-0.346648733838819
US,United States,1971,4.29276668813045,3.29335165324265
US,United States,1972,3.27227824655283,5.2589073310028
US,United States,1973,6.17776006377041,5.64572257104872
US,United States,1974,11.0548048048048,-0.54055166261962
US,United States,1975,9.14314686496534,-0.205456064255458
US,United States,1976,5.74481263549085,5.38813929310284
US,United States,1977,6.50168399472839,4.62415306432004
US,United States,1978,7.63096383885602,5.53530495989784
US,United States,1979,11.2544711292795,3.16614531077464
US,United States,1980,13.5492019749684,-0.256749676940515
US,United States,1981,10.3347153402771,2.53771929783902
US,United States,1982,6.13142700027494,-1.80288740691098
US,United States,1983,3.21243523316063,4.58391336401664
US,United States,1984,4.30053547523427,7.23663315778187
US,United States,1985,3.54564415209369,4.16965621486705
US,United States,1986,1.89804772234275,3.46264597689752
US,United States,1987,3.66456321751691,3.45925198493917
US,United States,1988,4.07774110744408,4.17706128382223
US,United States,1989,4.82700303008949,3.67264815928338
US,United States,1990,5.39795643990322,1.88596495768836
US,United States,1991,4.23496396453853,-0.108264786843066
US,United States,1992,3.0288196781497,3.52244052251753
US,United States,1993,2.95165696638554,2.75178104210936
US,United States,1994,2.6074415921546,4.02879326333235
US,United States,1995,2.80541968853655,2.68421727485742
US,United States,1996,2.9312041999344,3.7725655016348
US,United States,1997,2.33768993730741,4.38177517389286
US,United States,1998,1.55227909874362,4.48140756104172
US,United States,1999,2.18802719697358,4.75323598286796
US,United States,2000,3.37685727149935,4.12748401690885
US,United States,2001,2.82617111885402,0.998340791805987
US,United States,2002,1.58603162650603,1.74169525130476
US,United States,2003,2.27009497336113,2.8612107683238
US,United States,2004,2.67723669309173,3.79889112471299
US,United States,2005,3.39274684549547,3.5132137994521
US,United States,2006,3.22594410070407,2.85497229363445
US,United States,2007,2.85267248150136,1.87617145415626
US,United States,2008,3.83910029665101,-0.136579803249504
US,United States,2009,-0.35554626629975,-2.53675706714202
US,United States,2010,1.64004344238989,2.5637665603995
US,United States,2011,3.15684156862206,1.55083550470843
US,United States,2012,2.06933726526059,2.24954585238848
US,United States,2013,1.46483265562714,1.84208107064158
US,United States,2014,1.62222297740821,2.52597344637341
US,United States,2015,0.118627135552435,3.0755146497898
US,United States,2016,1.26158320570537,1.71142677366849
US,United States,2017,2.13011000365963,2.33267939548638
US,United States,2018,2.44258329692818,2.99646435222829
US,United States,2019,1.81221007526015,2.16117651518969
US,United States,2020,1.23358439630637,-3.64201387945729
