_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
3629442,36353,BP-19071,18,Shaw St,Shaw St,West,King St,North,NA,10,NA,Ring,Existing,0,311635.634,4833553.026,-79.41527366,43.641887519,"c(-79.4152736597527, 43.6418875231082)"
3629443,36356,BP-32292,927,Yonge St,Baxter St,South,Yonge St,East,NA,11,NA,Ring,Existing,0,313772.016,4837261.996,-79.388732036,43.675250499,"c(-79.3887320346819, 43.6752504985896)"
3629444,36357,BP-30696,11,River St,River St,East,Queen St E,North,NA,13,NA,Ring,Existing,0,316373.715,4835299.191,-79.356508812,43.657546728,"c(-79.3565088072776, 43.6575467267814)"
3629445,36359,BP-33814,1153,Davenport Rd,Davenport Rd,South,Alberta Ave,West,NA,09,NA,Ring,Existing,0,310294.269,4837180.664,-79.431862683,43.674552248,"c(-79.4318626877413, 43.6745522487065)"
3629446,36362,BP-29435,1906,Weston Rd,Weston Rd,South,Lawrence Ave W,West,NA,05,Weston Village,Ring,Existing,0,303436.605,4840036.591,-79.5169154,43.700278362,"c(-79.5169154046679, 43.7002783679119)"
3629447,36366,BP-45657,2399,Lake Shore Blvd W,Superior Ave,West,Lake Shore Blvd W,South,NA,03,Mimico By The Lake,Ring,Existing,0,305740.795,4830536.876,-79.488344272,43.614768761,"c(-79.4883442720811, 43.6147687655225)"
3629448,36369,BP-32613,10,Bellair St,Bellair St,West,Bloor St W,North,NA,11,Bloor Street,Ring,Existing,0,313610.767,4836642.738,-79.390741906,43.669678292,"c(-79.3907419003797, 43.6696782943858)"
3629449,36374,BP-45945,NA,NA,Bay St,East,Dundas St W,South,NA,NA,NA,Ring,Existing,0,314197.661,4835057.323,-79.383491721,43.65540027,"c(-79.3834917244042, 43.65540027348)"
3629450,36380,BP-21577,628,King St W,King St W,North,Waterloo Ter,West,NA,10,NA,Ring,Existing,0,312778.151,4833823.328,-79.40110842,43.644309238,"c(-79.401108414373, 43.6443092357674)"
3629451,36386,BP-22387,5,Carlton St,Carlton St,South,Reverend Porter Lane,West,NA,13,Downtown Yonge,Ring,Existing,0,314301.58,4835710.404,-79.382191892,43.661277547,"c(-79.3821918898159, 43.6612775505376)"
3629452,36390,BP-18146,350,Coxwell Ave,Coxwell Ave,West,Fairford Ave,South,NA,14,NA,Ring,Existing,0,319292.343,4837253.296,-79.320271276,43.67508505,"c(-79.3202712735259, 43.6750850482141)"
