street_address,latitude,longitude,number_of_spots
20 Sussex Ave,43.664965589,-79.400516823,3
72 Bellevue Ave,43.655048749,-79.403741392,1
45 Grosvenor St,43.662347548,-79.386642415,4
84 Gerrard St W,43.658592838,-79.385687519,4
195B Dundas St W,43.655214364,-79.387302965,4
1132 Bay St,43.668484443,-79.38908566,3
55 Bloor St W,43.669201636,-79.389135207,9
29 Bellair St,43.671154723,-79.390927832,3
522 Dupont St,43.672883099,-79.415912312,1
469 College St,43.656161757,-79.408688256,3
610 Bloor St W,43.664744906,-79.413591494,1
487 Spadina Cres,43.659931943,-79.399873935,5
30 Charles St W,43.668726671,-79.386393809,3
22 Yorkville Ave,43.671733541,-79.388607355,4
80 Charles St E,43.669619979,-79.381691119,2
560 Dundas St W,43.652639916,-79.399684179,3
742 Spadina Ave,43.666161316,-79.403625713,10
75 Yorkville Ave,43.671004166,-79.391157463,4
83 Yorkville Ave,43.671006927,-79.391639211,1
267 Howland Ave,43.673647112,-79.411564283,2
55 Avenue Rd,43.671240862,-79.395050425,1
51 Avenue Rd,43.670988412,-79.394949504,1
33 Russell St,43.659915,-79.399224388,8
767 Bay St,43.65954323,-79.385184955,3
531 College St,43.65568044,-79.411080101,3
264 Beatrice St,43.658238997,-79.418965526,11
24 Sussex Ave,43.665172302,-79.400653098,2
888 Bloor St W,43.662109133,-79.425362042,1
320 Huron St,43.66287273,-79.399879133,16
222 Elm St,43.656169604,-79.392096475,8
388 Bloor St W,43.672331112,-79.377358792,2
770 Bay St,43.660217201,-79.385719553,4
799 College St,43.654611939,-79.421290534,2
2 Russell St,43.660567394,-79.397063179,2
495 Bloor St W,43.665751176,-79.40793442,1
396 College St,43.656958947,-79.40573994,1
135 St George St,43.667786158,-79.398926617,8
661 University Ave,43.659255719,-79.389962682,3
100 College St,43.660430479,-79.388220896000007,5
18 Shaftesbury Ave,43.682188623,-79.390765423,2
185 Davenport Rd,43.675080937,-79.393904212,10
64 Nassau St,43.655644378,-79.402400448,4
222 College St,43.658594512,-79.397252889,12
214-220 College St,43.658705951,-79.396634874,17
146 Baldwin St,43.65500636,-79.399681695,3
180 Cumberland St,43.669473418,-79.394280176,2
506 Bathurst St,43.657037992,-79.408038664,2
24 Baldwin St,43.656136092,-79.393130522,3
1034 Dundas St W,43.650183854,-79.416823534,2
78 Queen's Park,43.666199229,-79.393590627,6
25 Spadina Rd,43.668229018,-79.404364835,2
308 Palmerston Ave,43.655825457,-79.410368183,3
909 Bathurst St,43.669148217,-79.412677583,1
171 Dupont St,43.675545469,-79.403419484,2
718 Bathurst St,43.663102413,-79.410489885,3
268 College St,43.658124087,-79.400295621,8
232 Dupont St,43.675255476,-79.405582282,8
148 Nassau St,43.653840793,-79.406536236,2
470 Huron St,43.6674388,-79.401756937,3
248 Dupont St,43.675105807,-79.406266308,3
215 Madison Ave,43.675065125,-79.405714867,4
200 Bloor St W,43.668530538,-79.395334037,3
602 Bloor St W,43.664775639,-79.413152956,2
631 Spadina Ave,43.663248681,-79.401996492,4
585 College St,43.655237917,-79.413399229,1
620 University Ave,43.658922397,-79.39031503,5
730 Bay St,43.659062941,-79.385726787,6
928 Dundas St W,43.650899663,-79.413255124,2
490 Bloor St W,43.665519453,-79.409663522,1
167 College St,43.659176356,-79.393210393,4
174 St George St,43.66833035,-79.400228953,4
782 Bathurst St,43.664670589,-79.41112133,7
558 Bloor St W,43.665143593,-79.411456639,1
537 Bloor St W,43.665199467,-79.409837456,4
66 Avenue Rd,43.671661199,-79.395490548,3
87 Cumberland St,43.67039834,-79.390393095,1
70A Yorkville Ave,43.671244645,-79.390975162,1
97 Yorkville Ave,43.670952904,-79.391890178,1
1233 Bay St,43.670674409,-79.389582687,3
4 Cumberland St,43.671099711,-79.387387234,1
337 Spadina Ave,43.654875145,-79.398615253,6
293-299 Spadina Ave,43.65345827,-79.398051905,4
399 Bathurst St,43.652823976,-79.406117129,8
900 Yonge St,43.673541055,-79.388216843,1
362 Bloor St W,43.666359941,-79.405642411,7
1221 Bay St,43.670677382,-79.389126739,5
354 Huron St,43.663924067,-79.400270573,2
364 Huron St,43.664477978,-79.40049193,6
889 Yonge St,43.674532585,-79.388443123,5
980 Yonge St,43.675207987,-79.388714247,1
912 Yonge St,43.67398627,-79.388398965,1
932 Yonge St,43.674425176,-79.388594175,2
926 Yonge St,43.67412648,-79.388471543,3
20 Willcocks St,43.662182005,-79.399573931,3
120 St George St,43.663997338,-79.398722338,4
648 Spadina Ave,43.663040861,-79.402544054,2
5 Bedford Rd,43.668500579,-79.397483507,1
490 University Ave,43.655285628,-79.38878297,5
10 Surrey Pl,43.661119642,-79.387815574,4
677 Dupont St,43.671480374,-79.421861676,1
25 Russell St,43.660048227,-79.398575906,3
1134 Yonge St,43.679721305,-79.390773345,2
201 Elizabeth St,43.659304881,-79.386792436,5
710 Bathurst St,43.662954915,-79.410430861,2
175 Harbord St,43.661839353,-79.407786336,1
73 Harbord St,43.66286557,-79.402755202,1
324 Dundas St W,43.654211123,-79.392249759,1
250 College St,43.658263883,-79.398589737,11
333 Harbord St,43.659620649,-79.418679115,6
806 Dundas St W,43.65179421,-79.408809326,4
546 College St,43.655716734,-79.411881073,3
39 Spadina Rd,43.668597691,-79.404509446,1
172 Harbord St,43.662253201,-79.406524572,2
956 Bay St,43.664535337,-79.387370466,3
143 Elizabeth St,43.656008213,-79.385366769,1
100 Bloor St E,43.671025299,-79.384367185,5
572 College St,43.655443083,-79.41303701,4
634 Dundas St W,43.652006602,-79.402727386,1
848A Yonge St,43.672181384,-79.387302844,4
11 Elm Ave,43.674665983,-79.379423746,3
420 Huron St,43.666644693,-79.401404413,6
38 Madison Ave,43.668981413,-79.40356724,3
245 Dupont St,43.674880643,-79.406586977,9
16 Orde St,43.658391296,-79.391590224,6
630 Bloor St E,43.673929925,-79.368566886,2
50 Baldwin St,43.655687087,-79.395455036,4
618 Dundas St W,43.652207041,-79.401761116,2
61 Bellevue Ave,43.654909593,-79.40350167,4
831 Bloor St W,43.662513705,-79.42289402,3
1148 Yonge St,43.680088846,-79.390905589,1
158 Cumberland St,43.66983096,-79.393487632,2
