street_address,latitude,longitude,number_of_spots
620 Dundas St W,43.652191632,-79.401847241,1
533 Manning Ave,43.660489216,-79.414490092,1
636 Church St,43.669819008,-79.382738412,1
v 295 College St,43.657599387,-79.401513148,1
4 Charles St E,43.668815061,-79.386081185,1
1036 Dundas St W,43.650172636,-79.416871429,1
340 Harbord St,43.659543493,-79.419777334,1
4 Elm St,43.657837455,-79.382093266,1
710 Spadina Ave,43.665121564,-79.403103188,2
314 St George St,43.674941498,-79.403431985,1
162 Davenport Rd,43.675230579,-79.394541742,1
268 Bloor St W,43.667480254,-79.400438766,1
542 College St,43.655875496,-79.411539577,1
49 Hayden St,43.66987095,-79.384277488,1
577 College St,43.655314828,-79.412994025,2
158 Augusta Ave,43.652873775,-79.401436636,1
468 College St,43.65637904,-79.408637061,1
964 Bathurst St,43.669343974,-79.41296192,1
495 Huron St,43.669157187,-79.402230589,1
886 Bathurst St,43.66739242,-79.412197672,1
164 Bedford Rd,43.675087114,-79.400024121,1
611 Bloor St W,43.6645743,-79.413448479,1
184 Davenport Rd,43.675059086,-79.395362221,1
60 Oxford St,43.656431179,-79.402704194,1
819 Bloor St W,43.662630038,-79.422373905,1
293A Harbord St,43.660309477,-79.415364042,1
418 Spadina Ave,43.656334832,-79.399575926,1
71 Prince Arthur Ave,43.66878668,-79.399754016,1
439 Spadina Ave,43.657411223,-79.399627738,1
376 Spadina Ave,43.655201263,-79.399131294,2
169 Spadina Rd,43.673044418,-79.406253895,1
982A Bathurst St,43.669986469,-79.413212731,1
598 Bloor St W,43.664809118,-79.412969006,2
386 Harbord St,43.658881914,-79.422988883,1
291 Ossington Ave,43.650664405,-79.421166969,2
142 Davenport Rd,43.675339677,-79.393491924,1
360 Dupont St,43.674131518,-79.410022725,1
874 Bloor St W,43.662189481,-79.424971724,1
588 Markham St,43.663778841,-79.412053885,1
33 Baldwin St,43.655968307,-79.393446207,1
446 Bathurst St,43.655273215,-79.407323837,1
1073 Bathurst St,43.67252631,-79.414003339,1
470 College St,43.656347596,-79.40879951,1
602A Dundas St W,43.652292432,-79.401349343,1
360 Bloor St W,43.666505424,-79.404944321,1
77 Grace St,43.652633706,-79.414591609,1
2 Baldwin St,43.656378283,-79.392389645,1
1112 Yonge St,43.678714634,-79.390356815,1
800 Bay St,43.661250826,-79.386121784,2
623 College St,43.654910609,-79.41502403,1
512 Bloor St W,43.665337944,-79.410534465,1
400 Bloor St W,43.665938823,-79.407655185,2
752 Dundas St W,43.652288124,-79.406410898,2
750 Dundas St W,43.652282956,-79.406428906,1
1050 Bathurst St,43.671772742,-79.413917555,1
845 Bloor St W,43.662374235,-79.423542104,1
408 Dupont St,43.67383383,-79.411431585,1
160 Dundas St W,43.65539683,-79.385590031,1
462 Dupont St,43.67338414,-79.413587889,1
129 Davenport Rd,43.674540639,-79.392820244,1
45 Avenue Rd,43.670634478,-79.394766711,1
384 Spadina Ave,43.655366242,-79.399205626,1
609 College St,43.655026766,-79.414440902,1
267 St George St,43.673453784,-79.402391306,1
203 Davenport Rd,43.674938926,-79.395051605,1
345 College St,43.657186783,-79.403335497,1
155 Cumberland St,43.669794081,-79.393280347,1
568A College St,43.655572047,-79.412737524,2
868 Bathurst St,43.667026539,-79.412049592,1
252 Christie St,43.670597874,-79.421208815,1
32 McMurrich St,43.673836262,-79.389930467,3
74 Spadina Rd,43.670893993,-79.405624874,1
869 Bloor St W,43.66213621,-79.424616772,2
667 College St,43.655054461,-79.416892392,1
924 Bathurst St,43.668891748,-79.412786637,1
894 Bathurst St,43.667606029,-79.412280072,1
978 Bathurst St,43.669908379,-79.413182117,1
10 Edward St,43.656965581,-79.38172826,1
451 Dupont St,43.673110675,-79.414155896,2
698 Bay St,43.6579864,-79.384986053,2
471 Bloor St W,43.665972195,-79.406875446,1
1087 Bathurst St,43.672803848,-79.414121078,1
606 Bloor St W,43.664724564,-79.413376312,1
520 Bloor St W,43.665298231,-79.410725126,1
619 College St,43.654956777,-79.414796058,1
102 Scollard St,43.67183305,-79.392101289,1
878 Yonge St,43.672552365,-79.387806784,1
175 Cumberland St,43.669610207,-79.394179583,1
596 Spadina Ave,43.661355771,-79.401636053,1
835 Yonge St,43.673272921,-79.387917549,1
703 Bloor St W,43.663640616,-79.417720091,1
1055 Yonge St,43.678491242,-79.390058042,1
257 College St,43.657947358,-79.399349767,1
184 Augusta Ave,43.653975391,-79.40187068,1
612 Markham St,43.664769035,-79.41256061,3
510 College St,43.655966028,-79.410656838,1
510 Spadina Ave,43.658848503,-79.400574092,2
121 Scollard St,43.671621717,-79.392765151,1
466 Spadina Ave,43.657711924,-79.40012795,1
539 Bloor St W,43.66528652,-79.410164006,2
91 Harbord St,43.662737497,-79.403367249,2
535B Bloor St W,43.665130298,-79.409807727,1
95 Davenport Rd,43.673920412,-79.391723772,1
564 College St,43.655597431,-79.412449661,1
689 Bloor St W,43.663809805,-79.416948217,1
694 Bay St,43.657891724,-79.384747291,1
553 Bloor St W,43.66524147,-79.410375247,1
365 Manning Ave,43.655668647,-79.412107542,1
758A Dundas St W,43.652205114,-79.406798128,1
175 Bellwoods Ave,43.651013377,-79.412683221,1
120 Scollard St,43.671687796,-79.392822735,1
293 Harbord St,43.660325848,-79.415282747,1
88 Bernard Ave,43.673192835,-79.402200579,1
908 Bathurst St,43.667875435,-79.412383442,1
592 Markham St,43.663837207,-79.412076762,1
1114 Yonge St,43.678748585,-79.390369058,1
48 Hayden St,43.669882123,-79.384221475,1
608 Markham St,43.664338688,-79.412282687,1
287 Spadina Ave,43.653199191,-79.397957225,1
580 College St,43.655400964,-79.413235511,1
117 Spadina Rd,43.671513371,-79.405640323,1
455 Bathurst St,43.655376358,-79.407158472,1
182 Augusta Ave,43.653943227,-79.401855152,1
541 College St,43.655548462,-79.4117072,1
816 College St,43.654589276,-79.422034473,1
198 Brunswick Ave,43.662906936,-79.406330329,1
620 Bloor St W,43.664587681,-79.414032299,1
8A Spadina Rd,43.667261065,-79.404202604,2
162 Spadina Rd,43.674025669,-79.406878093,1
43 Madison Ave,43.66891575,-79.403422112,1
388 Spadina Ave,43.655416089,-79.399233314,1
677 Huron St,43.675320398,-79.404497981,1
854 Dundas St W,43.651463333,-79.410466819,1
468 Bathurst St,43.655761872,-79.407518819,1
21 Sussex Ave,43.664951678,-79.401001856,1
2 D'Arcy St,43.655360322,-79.391953634,1
372 Spadina Ave,43.655007101,-79.399043893,1
634 Church St,43.669730056,-79.382705057,1
323 Davenport Rd,43.674718547,-79.401126967,1
292 College St,43.657833275,-79.401326072,1
812 Bloor St W,43.662692563,-79.422688676,1
880 Bathurst St,43.667277503,-79.412153485,1
560A Dundas St W,43.652653775,-79.399780403,2
87 Walton St,43.657927734,-79.38524767,1
580 Bloor St W,43.664960635,-79.412291533,1
392 College St,43.65698825,-79.405587892,1
168 Bedford Rd,43.675170726,-79.400064766,1
874 Yonge St,43.672486477,-79.387787626,1
1090 Dundas St W,43.649766104,-79.418876874,1
201 Baldwin St,43.654206963,-79.401782091,1
21 Hazelton Ave,43.671539663,-79.393181961,1
130 Harbord St,43.662614073,-79.404573183,1
54 Hoskin Ave,43.664270421,-79.397987825,1
76 College St,43.660735439,-79.386797523,1
832 Bloor St W,43.662473035,-79.423680013,1
79 Harbord St,43.662786694,-79.403112919,1
221 Spadina Rd,43.674470113,-79.406819514,1
12 Madison Ave,43.667894447,-79.403162035,2
291 College St,43.657689542,-79.401042578,1
252 Palmerston Ave,43.654263962,-79.409525663,1
812 Church St,43.672057855,-79.385315376,1
484 Dundas St W,43.653201843,-79.397103446,1
287 College St,43.657693641,-79.400965485,1
849 1/2 Bloor St W,43.66230182,-79.42387107,1
207 Harbord St,43.661541979,-79.409266872,1
617 College St,43.654969239,-79.41474192,1
478 Bloor St W,43.665561488,-79.409466296,1
1299 Yonge St,43.684564876,-79.392543428,1
76 Scollard St,43.672042653,-79.391086356,1
179 Major St,43.662444519,-79.404689806,1
35 Avenue Rd,43.670494813,-79.394743913,1
150 Harbord St,43.66245222,-79.405449132,2
468 Dundas St W,43.653279802,-79.396736247,1
802 Bloor St W,43.662742869,-79.422468801,2
169 Brunswick Ave,43.662393659,-79.405680513,1
581 Euclid Ave,43.660775387,-79.413631701,1
927 Yonge St,43.675250499,-79.388732036,1
556 Spadina Cres,43.660048816,-79.401555707,1
99 Wellesley St W,43.663318807,-79.39041733,2
296 College St,43.657778771,-79.401641062,1
05-Nov Elm Ave,43.674622692,-79.379628491,1
126 Mc Caul St,43.654327853,-79.391684627,1
356 Bloor St W,43.666541258,-79.40477296,2
204 Augusta Ave,43.654584677,-79.402122228,1
310 College St,43.657678609,-79.402181689,1
422 College St,43.656722252,-79.406947064,1
369 Montrose Ave,43.659625385,-79.419399968,1
1100 Bay St,43.667607184,-79.38872212,1
181 Lowther Ave,43.668067828,-79.407868745,1
165 Brunswick Ave,43.662233212,-79.40581266,1
15 Elm Ave,43.674685703,-79.379337314,1
860 Yonge St,43.672302723,-79.387714806,1
708 Bloor St W,43.663776572,-79.417732319,1
623 Bloor St W,43.664424075,-79.414155822,1
11 Yorkville Ave,43.671697268,-79.388308599,1
301 Spadina Ave,43.653661591,-79.39812478,1
369 Huron St,43.663902625,-79.400262407,1
406 Spadina Ave,43.656126445,-79.399510234,1
183 Harbord St,43.661771516,-79.408166702,1
321 Davenport Rd,43.674598119,-79.400942581,1
370 Spadina Ave,43.654994597,-79.399041456,1
490 College St,43.656194111,-79.409552501,1
360 Montrose Ave,43.659548834,-79.419752723,1
189 Avenue Rd,43.675505713,-79.396708445,1
847 Bloor St W,43.662330458,-79.423720328,1
10 Dalton Rd,43.666708976,-79.406951447,1
1172 Bay St,43.669354258,-79.38943471,1
