occupancy_date,id,occupied_beds
2021-07-03,7298868,NA
2021-07-03,7298869,NA
2021-07-03,7298870,11
2021-07-03,7298871,NA
2021-07-03,7298872,NA
2021-07-03,7298873,NA
2021-07-03,7298874,6
2021-07-03,7298875,NA
2021-07-03,7298876,NA
2021-07-03,7298877,NA
2021-07-03,7298878,31
2021-07-03,7298879,NA
2021-07-03,7298880,24
2021-07-03,7298881,NA
2021-07-03,7298882,NA
2021-07-03,7298883,NA
2021-07-03,7298884,NA
2021-07-03,7298885,66
2021-07-03,7298886,50
2021-07-03,7298887,34
2021-07-03,7298888,52
2021-07-03,7298889,57
2021-07-03,7298890,17
2021-07-03,7298891,7
2021-07-03,7298892,47
2021-07-03,7298893,15
2021-07-03,7298894,NA
2021-07-03,7298895,3
2021-07-03,7298896,3
2021-07-03,7298897,51
2021-07-03,7298898,21
2021-07-03,7298899,2
2021-07-03,7298900,NA
2021-07-03,7298901,46
2021-07-03,7298902,27
2021-07-03,7298903,44
2021-07-03,7298904,50
2021-07-03,7298905,NA
2021-07-03,7298906,38
2021-07-03,7298907,NA
2021-07-03,7298908,NA
2021-07-03,7298909,22
2021-07-03,7298910,41
2021-07-03,7298911,NA
2021-07-03,7298912,15
2021-07-03,7298913,12
2021-07-03,7298914,3
2021-07-03,7298915,11
2021-07-03,7298916,33
2021-07-03,7298917,24
2021-07-03,7298918,NA
2021-07-03,7298919,25
2021-07-03,7298920,22
2021-07-03,7298921,25
2021-07-03,7298922,NA
2021-07-03,7298923,43
2021-07-03,7298924,2
2021-07-03,7298925,25
2021-07-03,7298926,22
2021-07-03,7298927,23
2021-07-03,7298928,5
2021-07-03,7298929,NA
2021-07-03,7298930,47
2021-07-03,7298931,NA
2021-07-03,7298932,63
2021-07-03,7298933,19
2021-07-03,7298934,50
2021-07-03,7298935,31
2021-07-03,7298936,41
2021-07-03,7298937,NA
2021-07-03,7298938,NA
2021-07-03,7298939,119
2021-07-03,7298940,37
2021-07-03,7298941,88
2021-07-03,7298942,30
2021-07-03,7298943,3
2021-07-03,7298944,75
2021-07-03,7298945,17
2021-07-03,7298946,NA
2021-07-03,7298947,15
2021-07-03,7298948,25
2021-07-03,7298949,33
2021-07-03,7298950,14
2021-07-03,7298951,9
2021-07-03,7298952,NA
2021-07-03,7298953,9
2021-07-03,7298954,14
2021-07-03,7298955,17
2021-07-03,7298956,12
2021-07-03,7298957,24
2021-07-03,7298958,18
2021-07-03,7298959,43
2021-07-03,7298960,NA
2021-07-03,7298961,28
2021-07-03,7298962,NA
2021-07-03,7298963,NA
2021-07-03,7298964,60
2021-07-03,7298965,NA
2021-07-03,7298966,47
2021-07-03,7298967,NA
2021-07-03,7298968,54
2021-07-03,7298969,NA
2021-07-03,7298970,166
2021-07-03,7298971,33
2021-07-03,7298972,NA
2021-07-03,7298973,18
2021-07-03,7298974,12
2021-07-03,7298975,35
2021-07-03,7298976,NA
2021-07-03,7298977,5
2021-07-03,7298978,14
2021-07-03,7298979,34
2021-07-03,7298980,3
2021-07-03,7298981,17
2021-07-03,7298982,NA
2021-07-03,7298983,24
2021-07-03,7298984,25
2021-07-03,7298985,21
2021-07-03,7298986,NA
2021-07-03,7298987,NA
2021-07-03,7298988,10
2021-07-03,7298989,8
2021-07-03,7298990,9
2021-07-03,7298991,25
2021-07-04,7298992,NA
2021-07-04,7298993,NA
2021-07-04,7298994,NA
2021-07-04,7298995,7
2021-07-04,7298996,NA
2021-07-04,7298997,NA
2021-07-04,7298998,NA
2021-07-04,7298999,NA
2021-07-04,7299000,NA
2021-07-04,7299001,NA
2021-07-04,7299002,NA
2021-07-04,7299003,26
2021-07-04,7299004,15
2021-07-04,7299005,NA
2021-07-04,7299006,NA
2021-07-04,7299007,NA
2021-07-04,7299008,NA
2021-07-04,7299009,11
2021-07-04,7299010,NA
2021-07-04,7299011,NA
2021-07-04,7299012,NA
2021-07-04,7299013,6
2021-07-04,7299014,NA
2021-07-04,7299015,NA
2021-07-04,7299016,NA
2021-07-04,7299017,31
2021-07-04,7299018,NA
2021-07-04,7299019,24
2021-07-04,7299020,NA
2021-07-04,7299021,NA
2021-07-04,7299022,NA
2021-07-04,7299023,NA
2021-07-04,7299024,66
2021-07-04,7299025,50
2021-07-04,7299026,34
2021-07-04,7299027,52
2021-07-04,7299028,57
2021-07-04,7299029,17
2021-07-04,7299030,8
2021-07-04,7299031,47
2021-07-04,7299032,15
2021-07-04,7299033,NA
2021-07-04,7299034,3
2021-07-04,7299035,3
2021-07-04,7299036,50
2021-07-04,7299037,21
2021-07-04,7299038,1
2021-07-04,7299039,NA
2021-07-04,7299040,51
2021-07-04,7299041,27
2021-07-04,7299042,44
2021-07-04,7299043,47
2021-07-04,7299044,NA
2021-07-04,7299045,38
2021-07-04,7299046,NA
2021-07-04,7299047,NA
2021-07-04,7299048,22
2021-07-04,7299049,41
2021-07-04,7299050,NA
2021-07-04,7299051,15
2021-07-04,7299052,14
2021-07-04,7299053,3
2021-07-04,7299054,11
2021-07-04,7299055,33
2021-07-04,7299056,24
